Symbol,Trade DATE,NOCP
TWLO,4/27/17,32.84
TWLO,4/28/17,33.05
TWLO,5/1/17,34.39
TWLO,5/2/17,33.94
TWLO,5/3/17,25.01
TWLO,5/4/17,24.96
TWLO,5/5/17,23.97
TWLO,5/8/17,23.84
TWLO,5/9/17,23.17
TWLO,5/10/17,23.45
TWLO,5/11/17,23.3
TWLO,5/12/17,24
TWLO,5/15/17,24.3
TWLO,5/16/17,24.88
TWLO,5/17/17,24.81
TWLO,5/18/17,24.37
TWLO,5/19/17,25.16
TWLO,5/22/17,24.96
TWLO,5/23/17,25.56
TWLO,5/24/17,26.05
TWLO,5/25/17,25
TWLO,5/26/17,25.01
TWLO,5/30/17,24.5
TWLO,5/31/17,24.31
TWLO,6/1/17,24.15
TWLO,6/2/17,24.85
TWLO,6/5/17,24.95
TWLO,6/6/17,25.54
TWLO,6/7/17,25.25
TWLO,6/8/17,25.49
TWLO,6/9/17,24.64
TWLO,6/12/17,24.77
TWLO,6/13/17,25.49
TWLO,6/14/17,25.71
TWLO,6/15/17,25.85
TWLO,6/16/17,26.87
TWLO,6/19/17,28.37
TWLO,6/20/17,27.69
TWLO,6/21/17,28.32
TWLO,6/22/17,28.75
TWLO,6/23/17,29.71
TWLO,6/26/17,28.94
TWLO,6/27/17,28.6
TWLO,6/28/17,29.5
TWLO,6/29/17,29
TWLO,6/30/17,29.11
TWLO,7/3/17,28.97
TWLO,7/5/17,29.07
TWLO,7/6/17,28.31
TWLO,7/7/17,28.43
TWLO,7/10/17,28.75
TWLO,7/11/17,29.32
TWLO,7/12/17,29.46
TWLO,7/13/17,29.48
TWLO,7/14/17,29.23
TWLO,7/17/17,30.45
TWLO,7/18/17,30.41
TWLO,7/19/17,31.49
TWLO,7/20/17,31.06
TWLO,7/21/17,30.93
TWLO,7/24/17,30.99
TWLO,7/25/17,31.4
TWLO,7/26/17,31.5
TWLO,7/27/17,30.15
TWLO,7/28/17,29.91
TWLO,7/31/17,29.17
TWLO,8/1/17,28.99
TWLO,8/2/17,28.4
TWLO,8/3/17,28.85
TWLO,8/4/17,29.21
TWLO,8/7/17,30.53
TWLO,8/8/17,33.58
TWLO,8/9/17,33
TWLO,8/10/17,30.28
TWLO,8/11/17,31.38
TWLO,8/14/17,31.41
TWLO,8/15/17,31
TWLO,8/16/17,31.06
